reservation_id,customer_id,theatre_id,movie_id,payment_id,booking_time_id,show_time_id,theatre_screen,seat_type,seats_booked,ticket_unit_price,base_amount,convenience_fee,tax_amount,discount_amount,quoted_total_amount,realized_total_amount,reservation_status,payment_status,booking_channel,promo_code
1,235,6,11,8,202506072030,202506102230,6,Regular,3,465,1395,51.85,235.32,139.5,1542.67,1542.67,Confirmed,Success,Web,
2,69,23,14,6,202502181830,202503172100,4,Premium,3,615,1845,65.35,343.86,0.0,2254.21,2254.21,Confirmed,Success,Web,
3,90,23,39,18,202411272300,202412101800,7,Regular,5,475,2375,81.25,442.12,0.0,2898.37,0.0,Confirmed,Refunded,Web,
4,37,13,33,15,202505172030,202506151900,7,Premium,1,315,315,19.45,54.53,31.5,357.48,357.48,Confirmed,Success,Android,FIRST100
5,331,15,44,14,202506152330,202507012130,1,Regular,6,470,2820,94.6,497.63,150.0,3262.23,0.0,Confirmed,Failed,Android,
6,416,4,3,13,202502270900,202503161200,10,Regular,2,260,520,25.6,98.21,0.0,643.81,0.0,Cancelled,Refunded,Web,
7,207,4,29,12,202502052000,202502201830,10,Regular,3,325,975,39.25,182.56,0.0,1196.81,1196.81,Confirmed,Success,iOS,
8,270,5,55,16,202501282300,202502062000,6,Regular,2,210,420,22.6,79.67,0.0,522.27,522.27,Confirmed,Success,Web,
9,335,22,27,12,202406151200,202406201300,4,Regular,1,160,160,14.8,31.46,0.0,206.26,206.26,Confirmed,Success,Android,
10,322,16,27,18,202506060930,202506181730,1,Premium,5,330,1650,59.5,280.71,150.0,1840.21,1840.21,Confirmed,Success,iOS,
11,371,20,51,2,202407212330,202407281430,2,Regular,1,300,300,19.0,57.42,0.0,376.42,376.42,Confirmed,Success,Android,
12,320,24,44,9,202412050900,202412232230,2,Recliner,2,710,1420,52.6,265.07,0.0,1737.67,1737.67,Confirmed,Success,iOS,
13,139,5,9,9,202506111530,202506120930,6,Recliner,6,265,1590,57.7,269.59,150.0,1767.29,1767.29,Confirmed,Success,Web,MOVIE10
14,162,10,59,19,202506091830,202506201100,5,Regular,1,165,165,14.95,32.39,0.0,212.34,212.34,Confirmed,Success,Web,
15,258,20,18,13,202502011200,202502012000,5,Regular,2,340,680,30.4,127.87,0.0,838.27,0.0,Confirmed,Failed,Web,
16,230,22,36,14,202405281630,202406102130,3,Regular,3,200,600,28.0,113.04,0.0,741.04,741.04,Confirmed,Success,Web,
17,188,17,15,19,202504261800,202505161730,8,Regular,2,335,670,30.1,126.02,0.0,826.12,826.12,Confirmed,Success,Web,MOVIE10
18,306,22,21,7,202506141300,202507102130,1,Regular,2,200,400,22.0,68.76,40.0,450.76,450.76,Confirmed,Success,Web,MOVIE10
19,303,19,21,9,202506201630,202507021800,2,Regular,6,230,1380,51.4,257.65,0.0,1689.05,1689.05,Confirmed,Success,iOS,
20,443,4,48,3,202501191030,202502091900,9,Recliner,2,520,1040,41.2,175.9,104.0,1153.1,1153.1,Confirmed,Success,Android,
21,388,10,7,16,202411131700,202411301500,1,Regular,6,180,1080,42.4,202.03,0.0,1324.43,1324.43,Confirmed,Success,Web,
22,240,22,4,14,202503091300,202503231830,5,Regular,4,200,800,34.0,150.12,0.0,984.12,984.12,Confirmed,Success,Web,
23,480,3,43,12,202507291030,202508031500,5,Regular,5,280,1400,52.0,261.36,0.0,1713.36,1713.36,Confirmed,Success,Android,
24,14,20,21,3,202507211830,202508082100,7,Regular,5,340,1700,61.0,316.98,0.0,2077.98,0.0,Confirmed,Failed,iOS,MOVIE10
25,207,17,50,19,202506042200,202506222330,2,Regular,4,305,1220,46.6,206.03,122.0,1350.63,1350.63,Confirmed,Success,Web,
26,113,15,59,15,202505221530,202505301000,7,Regular,4,375,1500,55.0,279.9,0.0,1834.9,0.0,Cancelled,Success,Web,
27,406,1,20,18,202504241600,202504252130,3,Regular,5,190,950,38.5,177.93,0.0,1166.43,1166.43,Confirmed,Success,Web,MOVIE10
28,260,18,31,15,202507211130,202507271800,9,Recliner,3,530,1590,57.7,296.59,0.0,1944.29,0.0,Cancelled,Refunded,Web,
29,416,16,16,10,202508032230,202508212230,4,Regular,6,290,1740,62.2,324.4,0.0,2126.6,2126.6,Confirmed,Success,Android,
30,212,15,27,15,202501162230,202502032230,2,Regular,2,470,940,38.2,159.16,94.0,1043.36,1043.36,Confirmed,Success,Web,
31,455,22,38,13,202504102100,202504250900,4,Premium,3,210,630,28.9,118.6,0.0,777.5,777.5,Confirmed,Success,Web,WELCOME50
32,12,16,22,19,202411241830,202411292100,4,Premium,5,375,1875,66.25,349.43,0.0,2290.68,2290.68,Confirmed,Success,Web,
33,66,22,12,5,202506201930,202506222130,5,Regular,1,200,200,16.0,38.88,0.0,254.88,254.88,Confirmed,Success,Web,MOVIE10
34,243,3,45,13,202411182100,202411241930,3,Recliner,2,510,1020,40.6,172.55,102.0,1131.15,1131.15,Confirmed,Success,Web,
35,197,13,40,14,202502181730,202503011330,6,Regular,5,195,975,39.25,182.56,0.0,1196.81,1196.81,Confirmed,Success,Android,
36,23,18,34,8,202505251830,202505281130,4,Premium,4,345,1380,51.4,232.81,138.0,1526.21,0.0,Cancelled,Success,Android,
37,429,18,55,8,202503261130,202504132230,7,Recliner,2,530,1060,41.8,198.32,0.0,1300.12,1300.12,Confirmed,Success,Web,
38,352,4,22,7,202502111630,202503081030,11,Regular,5,260,1300,49.0,219.42,130.0,1438.42,1438.42,Confirmed,Success,iOS,
39,254,22,7,17,202505071830,202506021730,3,Regular,6,175,1050,41.5,196.47,0.0,1287.97,1287.97,Confirmed,Success,Web,
40,29,8,37,1,202412012130,202412241000,3,Regular,3,400,1200,46.0,224.28,0.0,1470.28,1470.28,Confirmed,Success,Web,FIRST100
41,181,17,45,15,202507190900,202508112300,5,Regular,5,305,1525,55.75,284.53,0.0,1865.28,1865.28,Confirmed,Success,iOS,
42,474,14,23,17,202508011600,202508062030,5,Regular,6,500,3000,100.0,558.0,0.0,3658.0,3658.0,Confirmed,Success,iOS,
43,37,25,56,14,202505082230,202505222100,1,Regular,5,480,2400,82.0,446.76,0.0,2928.76,2928.76,Confirmed,Success,iOS,
44,275,25,26,2,202501211400,202502061830,7,Premium,3,620,1860,65.8,346.64,0.0,2272.44,0.0,Cancelled,Refunded,Web,
45,159,13,54,9,202411181600,202412132100,8,Regular,1,240,240,17.2,41.98,24.0,275.18,275.18,Confirmed,Success,Android,
46,421,11,15,3,202507181200,202507242330,3,Recliner,5,450,2250,77.5,418.95,0.0,2746.45,2746.45,Confirmed,Success,Android,
47,30,15,44,14,202412241330,202501131600,3,Premium,2,540,1080,42.4,202.03,0.0,1324.43,1324.43,Confirmed,Success,Web,MOVIE10
48,314,5,51,16,202505010930,202505211530,6,Premium,2,235,470,24.1,88.94,0.0,583.04,583.04,Confirmed,Success,Android,
49,438,1,28,20,202508051730,202508212000,1,Regular,1,190,190,15.7,37.03,0.0,242.73,0.0,Confirmed,Failed,Web,WEEKEND25
50,136,14,41,20,202506062230,202506171900,7,Regular,5,500,2500,85.0,465.3,0.0,3050.3,3050.3,Confirmed,Success,Web,
51,120,17,35,16,202507111800,202507181800,4,Regular,4,380,1520,55.6,256.61,150.0,1682.21,1682.21,Confirmed,Success,iOS,
52,357,18,46,2,202412051600,202412102130,7,Recliner,6,530,3180,105.4,591.37,0.0,3876.77,0.0,Cancelled,Success,Android,WEEKEND25
53,415,23,51,9,202412241330,202412262100,4,Regular,2,475,950,38.5,160.83,95.0,1054.33,1054.33,Confirmed,Success,Web,WELCOME50
54,406,11,4,5,202504242000,202504272300,4,Regular,1,280,280,18.4,48.67,28.0,319.07,319.07,Confirmed,Success,Android,
55,30,2,17,15,202507141400,202507151200,1,Regular,1,200,200,16.0,38.88,0.0,254.88,254.88,Confirmed,Success,Web,
56,383,5,11,9,202402260900,202403242200,8,Recliner,5,330,1650,59.5,280.71,150.0,1840.21,1840.21,Confirmed,Success,Web,
57,435,9,57,8,202506021500,202506221430,1,Recliner,2,355,710,31.3,120.65,71.0,790.95,790.95,Confirmed,Success,Web,
58,106,5,11,5,202402062200,202403071730,8,Regular,1,185,185,15.55,32.77,18.5,214.82,214.82,Confirmed,Success,iOS,
59,444,6,3,6,202407091600,202407252030,9,Recliner,4,745,2980,99.4,554.29,0.0,3633.69,3633.69,Confirmed,Success,Android,
60,126,15,54,6,202502131630,202503042130,4,Regular,5,470,2350,80.5,437.49,0.0,2867.99,0.0,Confirmed,Failed,iOS,
61,158,12,33,6,202503201330,202504011900,3,Regular,3,250,750,32.5,140.85,0.0,923.35,0.0,Confirmed,Failed,Android,
62,61,23,25,20,202412101030,202412111900,2,Regular,3,475,1425,52.75,266.0,0.0,1743.75,0.0,Cancelled,Refunded,Web,MOVIE10
63,352,6,27,8,202503192330,202504112130,5,Regular,5,465,2325,79.75,432.85,0.0,2837.6,2837.6,Confirmed,Success,Web,MOVIE10
64,176,11,47,12,202505171600,202505251930,1,Premium,1,455,455,23.65,86.16,0.0,564.81,564.81,Confirmed,Success,Web,
65,49,5,48,9,202508042330,202508111230,6,Regular,5,165,825,34.75,139.91,82.5,917.16,917.16,Confirmed,Success,iOS,
66,330,24,17,16,202412261600,202501131830,2,Regular,2,440,880,36.4,164.95,0.0,1081.35,1081.35,Confirmed,Success,iOS,WELCOME50
67,229,22,57,2,202506152000,202506251900,3,Regular,6,200,1200,46.0,224.28,0.0,1470.28,1470.28,Confirmed,Success,Web,
68,334,12,60,17,202501191600,202501291730,2,Regular,2,220,440,23.2,75.46,44.0,494.66,494.66,Confirmed,Success,Android,WEEKEND25
69,416,9,48,14,202404141300,202404181030,3,Regular,1,200,200,16.0,38.88,0.0,254.88,254.88,Confirmed,Success,iOS,WELCOME50
70,237,16,14,17,202503061030,202504012030,1,Regular,4,290,1160,44.8,216.86,0.0,1421.66,1421.66,Confirmed,Success,Web,
71,184,1,48,14,202411292100,202412021930,9,IMAX,5,340,1700,61.0,316.98,0.0,2077.98,2077.98,Confirmed,Success,iOS,
72,60,20,45,16,202411151000,202411191430,7,Regular,4,300,1200,46.0,202.68,120.0,1328.68,0.0,Cancelled,Refunded,Android,
73,80,14,56,13,202506171800,202506202230,3,Recliner,2,800,1600,58.0,298.44,0.0,1956.44,1956.44,Confirmed,Success,Android,
74,271,3,58,8,202506172330,202507032000,8,Regular,1,320,320,19.6,61.13,0.0,400.73,400.73,Confirmed,Success,iOS,
75,499,2,43,13,202506211830,202507201800,1,Regular,2,250,500,25.0,94.5,0.0,619.5,619.5,Confirmed,Success,Web,
76,12,15,27,11,202406181500,202406212000,5,Regular,6,470,2820,94.6,524.63,0.0,3439.23,3439.23,Confirmed,Success,Web,
77,436,21,48,1,202409172200,202409231100,10,Regular,5,275,1375,51.25,256.72,0.0,1682.97,0.0,Cancelled,Refunded,iOS,MOVIE10
78,190,17,59,16,202506122130,202506302000,2,Regular,3,380,1140,44.2,213.16,0.0,1397.36,0.0,Confirmed,Failed,Android,
79,373,22,51,8,202506122100,202506250900,1,Regular,2,160,320,19.6,61.13,0.0,400.73,400.73,Confirmed,Success,Web,
80,426,25,40,10,202505222030,202505232230,8,Regular,3,480,1440,53.2,268.78,0.0,1761.98,1761.98,Confirmed,Success,Android,WELCOME50
81,455,23,34,15,202501301000,202502041930,4,Regular,6,475,2850,95.5,530.19,0.0,3475.69,3475.69,Confirmed,Success,iOS,
82,496,9,8,16,202507242300,202508081900,4,Recliner,4,405,1620,58.6,302.15,0.0,1980.75,1980.75,Confirmed,Success,Web,
83,301,22,10,6,202507231400,202507281000,3,Regular,5,160,800,34.0,150.12,0.0,984.12,984.12,Confirmed,Success,Web,
84,160,1,35,7,202505310930,202506282000,2,Regular,5,190,950,38.5,177.93,0.0,1166.43,1166.43,Confirmed,Success,Web,
